Longitude,Latitude,Depth(km),Length,Width,Strike,Dip,Rake,Slip,rupture_time,rise_time
204.89500,55.97000,17.94,100.0,50.0,236.000,15.000,90.0,19.5000,0,1
205.34000,55.59800,5.00,100.0,50.0,236.000,15.000,90.0,19.5000,1,1
206.20800,56.47300,17.94,100.0,50.0,236.000,15.000,90.0,24.5000,2,1
206.65800,56.10000,5.00,100.0,50.0,236.000,15.000,90.0,24.5000,3,1
207.53700,56.97500,17.94,100.0,50.0,236.000,15.000,90.0,29.5000,4,1
207.99300,56.60300,5.00,100.0,50.0,236.000,15.000,90.0,29.5000,5,1
208.93710,57.51240,17.94,100.0,50.0,236.000,15.000,90.0,34.5000,6,1
209.40000,57.14000,5.00,100.0,50.0,236.000,15.000,90.0,34.5000,7,1
210.25970,58.04410,17.94,100.0,50.0,230.000,15.000,90.0,34.5000,8,1
210.80000,57.70000,5.00,100.0,50.0,230.000,15.000,90.0,34.5000,9,1
211.32490,58.65650,17.94,100.0,50.0,218.000,15.000,90.0,34.5000,10,1
212.00000,58.38000,5.00,100.0,50.0,218.000,15.000,90.0,34.5000,11,1
